G-10 	DEL:PART
G-30 	SUB:ADP:for
G-50 	SUB:ADP:for
G-60 	SUB:ADP:of
G-80 	DEL:PART
G-100 	SUB:ADP:of
G-120 	DEL:PART
G-140 	SUB:ADP:of
G-150 	DEL:PART
G-160 	SUB:ADP:of
G-170 	SUB:ADP:at
G-190 	SUB:ADP:at
G-200 	DEL:ADP
G-210 	DEL:AUX
G-230 	SUB:ADP:of
G-240 	DEL:ADP
G-250 	DEL:AUX
G-270 	SUB:ADP:of
G-280 	DEL:ADP
G-290 	DEL:AUX
G-310 	SUB:ADP:of
G-320 	DEL:ADP
G-330 	DEL:AUX
G-350 	SUB:ADP:of
G-360 	DEL:ADP
G-370 	DEL:AUX
G-390 	SUB:ADP:of
G-400 	DEL:ADP
G-410 	DEL:AUX
G-430 	SUB:ADP:of
G-440 	DEL:ADP
G-450 	DEL:PART
G-460 	DEL:DET
G-470 	SUB:ADP:with
G-480 	DEL:PART
G-490 	DEL:ADP
G-500 	SUB:ADP:at
G-510 	DEL:VERB_PART
G-520 	SUB:ADP:by
G-530 	SUB:ADP:an
G-540 	SUB:ADP:of
G-550 	SUB:ADP:at
G-560 	DEL:ADP
G-570 	SUB:ADP:a
G-580 	SUB:ADP:for
G-600 	SUB:ADP:at
G-610 	SUB:ADP:of
G-620 	DEL:VERB
G-630 	SUB:ADP:to
G-650 	SUB:ADP:for
G-660 	SUB:ADP:of
G-670 	DEL:ADP
G-680 	SUB:ADP:a
G-690 	SUB:ADP:with
G-700 	DEL:AUX
G-720 	SUB:ADP:of
G-730 	SUB:ADP:on
G-740 	DEL:VERB
G-750 	SUB:ADP:to
G-770 	SUB:ADP:of
G-780 	DEL:ADP
G-790 	DEL:AUX
G-800 	SUB:ADP:on
G-810 	DEL:VERB
G-820 	SUB:ADP:an
G-830 	DEL:AUX
G-840 	DEL:ADP
G-850 	SUB:ADP:at
G-860 	SWITCH:nsubj
G-870 	SUB:ADP:in
G-880 	SUB:ADP:by
G-890 	DEL:ADP
G-900 	DEL:AUX
G-910 	SUB:ADP:for
G-920 	SUB:ADP:of
G-930 	DEL:VERB
G-940 	SUB:ADP:an
G-960 	SUB:ADP:for
G-970 	DEL:DET
G-980 	SUB:ADP:with
G-990 	SUB:ADP:for
G-1000 	DEL:ADP
G-1010 	DEL:PART
G-1030 	SUB:ADP:on
G-1040 	SUB:ADP:to
G-1060 	DEL:PART
G-1070 	DEL:ADP
G-1080 	SUB:ADP:a
G-1090 	SUB:ADP:in
G-1100 	SUB:ADP:by
G-1110 	SUB:ADP:at
G-1120 	DEL:ADP
G-1130 	DEL:AUX
G-1140 	SUB:ADP:on
G-1150 	DEL:VERB
G-1160 	SUB:ADP:an
G-1170 	DEL:AUX
G-1180 	DEL:ADP
G-1190 	SUB:ADP:at
G-1200 	SWITCH:nsubj
G-1210 	SUB:ADP:in
G-1220 	SUB:ADP:by
G-1230 	DEL:ADP
G-1240 	DEL:AUX
G-1250 	SUB:ADP:for
G-1260 	SUB:ADP:at
G-1270 	SWITCH:nsubj
G-1280 	SUB:ADP:for
G-1290 	DEL:PART
G-1300 	DEL:AUX
G-1310 	SUB:ADP:for
G-1320 	DEL:DET
G-1330 	SUB:ADP:to
G-1340 	SUB:ADP:with
G-1350 	DEL:AUX
G-1360 	SUB:ADP:for
G-1370 	SUB:ADP:at
G-1380 	DEL:PART
G-1390 	DEL:DET
G-1400 	SUB:ADP:to
G-1420 	DEL:PART
G-1430 	SUB:ADP:at
G-1440 	SUB:ADP:of
G-1450 	DEL:VERB_PART
G-1460 	SUB:ADP:by
G-1470 	SUB:ADP:an
G-1480 	SUB:ADP:at
G-1490 	DEL:PART
G-1510 	SUB:ADP:of
G-1520 	DEL:VERB_PART
G-1530 	SUB:ADP:by
G-1550 	DEL:PART
G-1560 	DEL:ADP
G-1570 	SUB:ADP:a
G-1580 	SUB:ADP:with
G-1590 	SUB:ADP:for
G-1600 	DEL:PART
G-1620 	SUB:ADP:of
G-1630 	DEL:ADP
G-1640 	SUB:ADP:a
G-1650 	SUB:ADP:with
G-1660 	DEL:AUX
G-1680 	SUB:ADP:of
G-1690 	SUB:ADP:on
G-1700 	DEL:VERB
G-1710 	SUB:ADP:to
G-1730 	SUB:ADP:of
G-1740 	DEL:ADP
G-1750 	DEL:AUX
G-1760 	SUB:ADP:on
G-1770 	DEL:VERB
G-1780 	SUB:ADP:an
G-1790 	DEL:AUX
G-1800 	DEL:ADP
G-1810 	SUB:ADP:at
G-1820 	SWITCH:nsubj
G-1830 	SUB:ADP:in
G-1840 	SUB:ADP:by
G-1850 	DEL:ADP
G-1860 	DEL:AUX
G-1870 	SUB:ADP:for
G-1890 	SUB:ADP:on
G-1900 	SUB:ADP:to
G-1920 	SUB:ADP:for
G-1930 	SUB:ADP:of
G-1940 	SUB:ADP:at
G-1950 	SUB:ADP:of
G-1960 	DEL:VERB
G-1970 	SUB:ADP:to
G-1990 	DEL:PART
G-2000 	DEL:DET
G-2010 	SUB:ADP:with
G-2020 	DEL:PART
G-2040 	SUB:ADP:for
G-2050 	SUB:ADP:of
G-2060 	SUB:ADP:on
G-2070 	SUB:ADP:to
G-2080 	SUB:ADP:with
G-2090 	DEL:AUX
G-2110 	SUB:ADP:of
G-2120 	DEL:VERB_PART
G-2130 	SUB:ADP:by
G-2140 	DEL:ADP
G-2150 	DEL:AUX
G-2160 	SUB:ADP:for
G-2170 	SUB:ADP:at
G-2180 	SUB:ADP:of
G-2190 	DEL:VERB_PART
G-2200 	SUB:ADP:by
G-2210 	SUB:ADP:an
G-2220 	DEL:AUX
G-2230 	DEL:ADP
G-2240 	SUB:ADP:a
G-2250 	SUB:ADP:with
G-2260 	DEL:AUX
G-2270 	SUB:ADP:for
G-2280 	SUB:ADP:at
G-2290 	DEL:PART
G-2300 	DEL:ADP
G-2310 	SUB:ADP:a
G-2320 	SUB:ADP:with
G-2330 	SUB:ADP:for
G-2350 	SUB:ADP:at
G-2360 	DEL:VERB_PART
G-2370 	SUB:ADP:by
G-2380 	SUB:ADP:at
G-2390 	DEL:ADP
G-2400 	DEL:PART
G-2410 	DEL:ADP
G-2420 	SUB:ADP:a
G-2430 	SUB:ADP:in
G-2440 	SUB:ADP:by
G-2450 	DEL:PART
G-2460 	SUB:ADP:of
G-2470 	DEL:VERB
G-2480 	SUB:ADP:an
G-2490 	SUB:ADP:of
G-2500 	SUB:ADP:at
G-2510 	DEL:ADP
G-2520 	SUB:ADP:at
G-2530 	DEL:VERB_PART
G-2540 	SUB:ADP:by
G-2550 	SUB:ADP:an
G-2560 	DEL:AUX
G-2570 	DEL:ADP
G-2580 	SUB:ADP:a
G-2590 	SUB:ADP:with
G-2600 	DEL:AUX
G-2610 	SUB:ADP:for
G-2620 	SUB:ADP:at
G-2630 	DEL:PART
G-2640 	DEL:ADP
G-2650 	SUB:ADP:a
G-2660 	SUB:ADP:with
G-2670 	SUB:ADP:for
G-2680 	DEL:PART
G-2690 	DEL:AUX
G-2700 	SUB:ADP:on
G-2710 	DEL:VERB
G-2720 	SUB:ADP:an
G-2730 	SUB:ADP:at
G-2740 	DEL:PART
G-2760 	SUB:ADP:of
G-2770 	SUB:ADP:on
G-2780 	DEL:VERB
G-2790 	SUB:ADP:to
G-2810 	DEL:PART
G-2820 	SUB:ADP:at
G-2830 	SWITCH:nsubj
G-2840 	SUB:ADP:for
G-2850 	DEL:PART
G-2870 	SUB:ADP:of
G-2880 	DEL:ADP
G-2890 	SUB:ADP:at
G-2900 	SWITCH:nsubj
G-2910 	SUB:ADP:in
G-2920 	SUB:ADP:by
G-2940 	DEL:PART
G-2950 	DEL:DET
G-2960 	SUB:ADP:to
G-2980 	SUB:ADP:of
G-2990 	DEL:ADP
G-3000 	DEL:AUX
G-3010 	SUB:ADP:for
G-3020 	DEL:DET
G-3030 	SUB:ADP:to
G-3040 	SUB:ADP:with
G-3050 	DEL:AUX
G-3070 	SUB:ADP:of
G-3080 	DEL:VERB_PART
G-3090 	SUB:ADP:by
G-3100 	DEL:ADP
G-3110 	DEL:AUX
G-3120 	SUB:ADP:for
G-3130 	SUB:ADP:at
G-3140 	SUB:ADP:of
G-3150 	DEL:VERB_PART
G-3160 	SUB:ADP:by
G-3170 	SUB:ADP:an
G-3180 	DEL:AUX
G-3190 	DEL:ADP
G-3200 	SUB:ADP:a
G-3210 	SUB:ADP:with
G-3220 	DEL:AUX
G-3230 	SUB:ADP:for
G-3240 	SUB:ADP:at
G-3250 	DEL:PART
G-3260 	DEL:ADP
G-3270 	SUB:ADP:a
G-3280 	SUB:ADP:with
G-3290 	SUB:ADP:for
G-3300 	DEL:ADP
G-3310 	DEL:PART
G-3330 	DEL:PART
G-3340 	DEL:DET
G-3350 	SUB:ADP:with
G-3360 	DEL:PART
G-3370 	DEL:ADP
G-3380 	SUB:ADP:with
G-3390 	DEL:ADP
G-3400 	SUB:ADP:with
G-3410 	DEL:ADP
G-3420 	DEL:PART
G-3440 	SUB:ADP:for
G-3450 	DEL:DET
G-3460 	SUB:ADP:with
G-3470 	SUB:ADP:for
G-3480 	DEL:ADP
G-3490 	DEL:PART
G-3510 	SUB:ADP:on
G-3520 	SUB:ADP:in
G-3530 	DEL:PART
G-3540 	SUB:ADP:of
G-3550 	DEL:VERB
G-3560 	SUB:ADP:an
G-3580 	SUB:ADP:for
G-3600 	SUB:ADP:for
G-3620 	SUB:ADP:for
G-3630 	SUB:ADP:of
G-3640 	SUB:ADP:at
G-3650 	SUB:ADP:of
G-3660 	DEL:VERB
G-3670 	SUB:ADP:to
G-3690 	SUB:ADP:for
G-3700 	SUB:ADP:of
G-3710 	DEL:ADP
G-3720 	DEL:AUX
G-3730 	SUB:ADP:on
G-3740 	DEL:AUX
G-3750 	DEL:ADP
G-3760 	SUB:ADP:a
G-3770 	SUB:ADP:with
G-3780 	DEL:AUX
G-3800 	SUB:ADP:of
G-3810 	SUB:ADP:on
G-3820 	SUB:ADP:at
G-3830 	SUB:ADP:in
G-3840 	DEL:ADP
G-3850 	DEL:AUX
G-3860 	SUB:ADP:for
G-3870 	SUB:ADP:at
G-3880 	SUB:ADP:of
G-3890 	DEL:VERB_PART
G-3900 	SUB:ADP:by
G-3910 	SUB:ADP:an
G-3920 	SUB:ADP:at
G-3930 	DEL:PART
G-3950 	SUB:ADP:in
G-3960 	DEL:ADP
G-3970 	DEL:AUX
G-3990 	SUB:ADP:of
G-4000 	DEL:VERB_PART
G-4010 	SUB:ADP:by
G-4030 	DEL:PART
G-4040 	DEL:ADP
G-4050 	DEL:AUX
G-4060 	SUB:ADP:for
G-4080 	SUB:ADP:of
G-4090 	DEL:ADP
G-4100 	DEL:AUX
G-4110 	SUB:ADP:for
G-4120 	DEL:DET
G-4130 	SUB:ADP:to
G-4140 	SUB:ADP:with
G-4150 	DEL:AUX
G-4160 	SUB:ADP:for
G-4170 	SUB:ADP:at
G-4180 	DEL:ADP
G-4190 	DEL:PART
G-4210 	DEL:PART
G-4220 	DEL:DET
G-4230 	SUB:ADP:with
G-4240 	DEL:PART
G-4250 	DEL:ADP
G-4260 	SUB:ADP:with
G-4270 	DEL:ADP
G-4280 	SUB:ADP:with
G-4290 	DEL:ADP
G-4300 	DEL:PART
G-4320 	SUB:ADP:for
G-4330 	DEL:DET
G-4340 	SUB:ADP:with
G-4350 	SUB:ADP:for
G-4360 	DEL:ADP
G-4370 	DEL:PART
G-4390 	SUB:ADP:on
G-4400 	SUB:ADP:in
G-4410 	DEL:PART
G-4420 	SUB:ADP:of
G-4430 	DEL:VERB
G-4440 	SUB:ADP:an
G-4460 	SUB:ADP:for
G-4480 	SUB:ADP:for
G-4500 	SUB:ADP:for
G-4510 	SUB:ADP:of
G-4520 	SUB:ADP:at
G-4530 	SUB:ADP:of
G-4540 	DEL:VERB
G-4550 	SUB:ADP:to
G-4570 	SUB:ADP:for
G-4580 	SUB:ADP:of
G-4590 	DEL:ADP
G-4600 	DEL:AUX
G-4610 	SUB:ADP:on
G-4620 	DEL:AUX
G-4630 	DEL:ADP
G-4640 	SUB:ADP:a
G-4650 	SUB:ADP:with
G-4660 	DEL:AUX
G-4680 	SUB:ADP:of
G-4690 	SUB:ADP:on
G-4700 	SUB:ADP:at
G-4710 	SUB:ADP:in
G-4720 	DEL:ADP
G-4730 	DEL:AUX
G-4740 	SUB:ADP:for
G-4750 	SUB:ADP:at
G-4760 	SUB:ADP:of
G-4770 	DEL:VERB_PART
G-4780 	SUB:ADP:by
G-4790 	SUB:ADP:an
G-4800 	SUB:ADP:at
G-4810 	DEL:PART
G-4830 	SUB:ADP:in
G-4840 	DEL:ADP
G-4850 	DEL:AUX
G-4870 	SUB:ADP:of
G-4880 	DEL:VERB_PART
G-4890 	SUB:ADP:by
G-4910 	DEL:PART
G-4920 	DEL:ADP
G-4930 	DEL:AUX
G-4940 	SUB:ADP:for
G-4960 	SUB:ADP:of
G-4970 	DEL:ADP
G-4980 	DEL:AUX
G-4990 	SUB:ADP:for
G-5000 	DEL:DET
G-5010 	SUB:ADP:to
G-5020 	SUB:ADP:with
G-5030 	DEL:AUX
G-5040 	SUB:ADP:for
G-5050 	SUB:ADP:at
G-5060 	DEL:PART
G-5080 	SUB:ADP:in
G-5100 	DEL:PART
G-5110 	DEL:DET
G-5120 	SUB:ADP:to
