id	prompt	waveId	transcription	recResult	language	meaning	edition	category
20	Sag: Ich möchte mit Visa bezahlen	user-265_2014-12-10_07-00-41_utt_012	i want i want which visas buy	i want i want which visa six nights	0	0	ST2	A
21	Sag: Ich möchte mit Visa bezahlen	user-265_2014-12-10_07-00-41_utt_013	i want which pi i want to play ah fu*a	i want bridge i want to leave africa	0	0	ST2	A
22	Sag: Ich möchte mit Visa bezahlen	user-265_2014-12-10_07-00-41_utt_014	i want which visa pay	i want swiss visa pay	0	0	ST2	A
61	Sag: Ich möchte mit Visa bezahlen	user-260_2014-12-10_06-56-11_utt_021	i want pay with visa ah scheisse*v	i want pay with visa card	0	1	ST2	A
63	Sag: Ich möchte mit Euros bezahlen	user-260_2014-12-10_06-56-11_utt_023	i would like pay with euros*z	i would like to pay with dollars	0	1	ST2	A
64	Sag: Ich möchte mit Euros bezahlen	user-260_2014-12-10_06-56-11_utt_024	i would pay with euros	i would pay with euros	0	1	ST2	A
70	Sag: Ich möchte mit Postkarte bezahlen	user-260_2014-12-17_06-50-54_utt_009	i want pay with a post card	i will pay with the post card	0	1	ST2	A
103	Sag: Ich möchte mit Kreditkarte bezahlen	user-283_2014-12-16_08-28-54_utt_006	i will pay with the credit card	i would pay with the credit card	0	1	ST2	A
110	Sag: Ich möchte um 14 Uhr morgen abreisen	user-283_2014-12-16_08-28-54_utt_019	i i would oder*v i want i want leave at two pm	i want i want leave at two pm	0	0	ST2	A
115	Sag: Ich möchte am Donnerstagnachmittag abreisen	user-283_2014-12-16_08-28-54_utt_026	i want to leave at thursday afternoon	i want to leave at thursday afternoon	0	1	ST2	A
120	Sag: Ich möchte mit Postkarte bezahlen	user-278_2014-12-16_08-25-57_utt_007	i want pay with the credit card	i want pay with the credit card	0	0	ST2	A
121	Sag: Ich möchte mit Postkarte bezahlen	user-278_2014-12-16_08-25-57_utt_008	i want pay with the post card	i want pay with the post card	0	1	ST2	A
122	Sag: Ich möchte mit Postkarte bezahlen	user-278_2014-12-16_08-25-57_utt_009	i want to pay with the post card	i want to pay with post card	0	1	ST2	A
144	Sag: Ich möchte mit Mastercard bezahlen	user-270_2014-12-16_08-29-47_utt_012	i want to pay with the mastercard	i want to pay with mastercard	0	1	ST2	A
162	Sag: Ich möchte mit Kreditkarte bezahlen	user-270_2014-12-16_16-54-48_utt_019	i would pay with the credit card	i would pay with credit card	0	1	ST2	A
219	Sag: Ich möchte mit Mastercard bezahlen	user-280_2014-11-27_06-57-09_utt_006	i would pay with mastercard	i would pay with mastercard	0	1	ST2	A
225	Sag: Ich möchte am Sonntagnachmittag abreisen	user-280_2014-11-27_06-57-09_utt_015	i would leave at sunday afternoon	i would leave at sunday afternoon	0	1	ST2	A
226	Sag: Ich möchte am Sonntagnachmittag abreisen	user-280_2014-11-27_06-57-09_utt_016	i would take off at sunday afternoon	i want ticket at sunday afternoon	0	0	ST2	A
240	Sag: Ich möchte mit Kreditkarte bezahlen	user-281_2014-12-09_15-31-48_utt_006	i would like to pay with the credit card	i would like to pay with the credit card	0	1	ST2	A
252	Sag: Ich möchte mit Kreditkarte bezahlen	user-281_2014-12-09_15-31-48_utt_032	can i pay with the credit card please	can i pay with the credit card please	0	1	ST2	A
299	Sag: Ich möchte mit Mastercard bezahlen	user-289_2014-11-27_06-45-36_utt_005	i will with master card buy	i will boots mastercard fine	0	1	ST2	A
300	Sag: Ich möchte mit Mastercard bezahlen	user-289_2014-11-27_06-45-36_utt_006	i want buy with master card	i want to buy with mastercard	0	1	ST2	A
301	Sag: Ich möchte mit Mastercard bezahlen	user-289_2014-11-27_06-45-36_utt_007	i will buy with mastercards	i would buy with post cards	0	1	ST2	A
310	Sag: Ich möchte mit Postkarte bezahlen	user-289_2014-11-27_06-45-36_utt_028	i would buy with	i would buy with	0	0	ST2	A
311	Sag: Ich möchte mit Postkarte bezahlen	user-289_2014-11-27_06-45-36_utt_029	i will*a would buy with post card	i would would buy with post card	0	1	ST2	A
336	Sag: Ich möchte mit Visa bezahlen	user-282_2014-11-30_20-35-31_utt_013	i wanna play with visa	i want pay with visa	0	1	ST2	A
363	Sag: Ich möchte mit Mastercard bezahlen	user-23_2014-11-03_09-47-09_utt_021	xxx	small	0	0	ST2	A
404	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-05_12-33-21_utt_008	i would pay by post card	the room room want card	0	1	ST2	A
405	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-05_12-33-21_utt_009	i would pay by post card	my room please a food room	0	1	ST2	A
411	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-05_12-33-21_utt_021	i want to pay*a	i want boots	0	0	ST2	A
443	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-05_12-58-17_utt_026	i would pay by post card	i would pay with post card	0	1	ST2	A
530	Sag: Ich möchte am Samstagmorgen abreisen	user-45_2014-11-06_19-16-32_utt_009	i like to leave at sunday morning	i would like to leave on sunday morning	0	0	ST2	A
545	Sag: Ich möchte am Donnerstagnachmittag abreisen	user-45_2014-11-06_19-16-32_utt_033	i want tie on thursday afternoon	i want to buy with the water	0	0	ST2	A
862	Sag: Ich möchte am Freitagabend gehen	user-45_2014-11-19_11-50-52_utt_064	i'd like -xxx- at friday night	the capital have friday night	0	1	ST2	A
913	Sag: Ich möchte mit Schweizer Franken bezahlen	user-45_2014-11-19_11-50-52_utt_130	i'd like to pay by swiss franc	i'm going to pay by swiss franc	0	1	ST2	A
977	Sag: Ich möchte am Donnerstagmorgen abreisen	user-45_2014-11-19_11-50-52_utt_217	i want to leave at thursday morning	i want to leave at thursday morning	0	1	ST2	A
